# mode    freq(cm-1)    alpha    beta2    activity
124     0.22823   0.0000000   0.0000016   0.0000114
125     0.36142  -0.0001733   0.0000011   0.0000089
126     0.51577   0.0012112   0.0000278   0.0002603
123    45.98232   0.0333825   0.0425664   0.3481121
122    47.09036   0.0011696   0.0186968   0.1309393
121    54.67758   0.0485174   0.0367224   0.3629838
120    55.42193   0.0015774   0.0231339   0.1620492
119    71.39248   0.0075000   0.2542795   1.7824879
118    73.11656  -0.2159374   0.7441120   7.3070881
117    75.56866  -0.0036105   0.0819206   0.5740309
116    78.70025   0.0165596   0.0387737   0.2837557
115    79.60268  -0.0005959   0.1364926   0.9554642
114    81.44867  -0.0820741   0.1530498   1.3744763
113    91.62415   0.0000000   0.1047828   0.7334799
112    93.48998  -0.0227881   0.3460463   2.4456927
111    98.22348   0.0003686   0.1030439   0.7213132
110   100.55540   0.0266302   0.0361517   0.2849745
109   104.89096  -0.0854371   0.0706803   0.8232395
108   108.45431   0.0000000   0.1345923   0.9421461
107   114.44794  -0.0002081   0.1249283   0.8744998
106   122.17673  -0.0275077   0.5867347   4.1411932
105   127.59089   0.0008473   0.1211949   0.8483964
104   132.79012  -0.0558680   0.0803087   0.7026163
103   146.06856  -0.0072472   0.1212701   0.8512543
102   150.91059  -0.0669413   0.0451093   0.5174166
101   153.06198  -0.0015688   0.0268591   0.1881248
100   155.36365   0.0209889   0.0473419   0.3512172
099   155.84758   0.0004764   0.0214161   0.1499229
098   158.83010  -0.0002105   0.0549018   0.3843145
097   160.94841  -0.0207523   0.2619090   1.8527427
096   161.48150  -0.0010710   0.0603158   0.4222621
095   173.81881   0.0001265   2.1952941  15.3670594
094   178.27603   0.1072987   1.8030044  13.1391160
093   196.68668  -0.0002232   0.0454587   0.3182130
092   210.36665  -0.2146424   0.6770101   6.8122817
091   214.05994  -0.0013441   0.2307651   1.6154369
090   237.66183  -0.0000000   0.0905431   0.6338019
089   247.12056   0.0006803   0.0914741   0.6403396
088   248.51511  -0.0181722   0.8967960   6.2924324
087   249.73824   0.0523125   2.6012925  18.3321944
086   256.39994   0.2427481   0.0590103   3.0647704
085   257.50955   0.0024562   0.0886550   0.6208566
084   288.83136   0.0145297   0.1871811   1.3197680
083   292.20402  -0.2399317   0.8370369   8.4497826
082   303.56645   0.0980432   0.1618970   1.5658399
081   304.76928  -0.0176241   0.1109118   0.7903602
080   346.97254   0.8681392   3.6285733  59.3149694
079   347.43282   0.0182373   1.3130485   9.2063067
078   368.17954  -0.0171881   0.2559471   1.8049243
077   368.28471  -0.0057338   0.2433164   1.7046945
076   431.80871   0.5297079   1.1471003  20.6562748
075   432.21919  -0.0756495   1.4774104  10.5994008
074   446.06707   0.1097084   1.1219333   8.3951496
073   446.68431  -0.0053726   0.2605542   1.8251782
072   494.96141  -0.0033363   1.2107313   8.4756199
071   496.93538  -0.8309440   3.2964320  54.1460788
070   742.98499   0.0223682   1.0542857   7.4025153
069   747.07281   2.4751260   2.7793900  295.1369262
068   788.83647  -2.0408487  29.3096132  392.5951449
067   789.85166  -0.1094890  19.0787114  134.0904322
066   881.66186  -0.4041350   3.8901509  34.5806844
065   886.49878  -0.0031310   1.2402600   8.6822612
064   915.18055   0.0136279   1.7741794  12.4276131
063   915.53073  -0.0248073   2.1993174  15.4229145
062   961.77049  -0.1084089   3.1772972  22.7699423
061   963.45143   0.0011836   3.1152069  21.8065115
060   989.59980  -0.0010239   2.1111376  14.7780104
059   992.88992  -0.0296984   1.5664401  11.0047707
058  1058.15770   0.0256311   1.0152356   7.1362119
057  1060.03731   0.0000000   0.0231608   0.1621255
056  1102.87052  -0.0180453   0.3742574   2.6344553
055  1103.68185   0.0005601   0.3230384   2.2612833
054  1114.75302   0.0032683   1.3827006   9.6793849
053  1115.30023   0.0861357   0.9801153   7.1946779
052  1183.55576   0.0005605   4.3144911  30.2014521
051  1185.87913   0.1020172   1.3035228   9.5929977
050  1221.15218   0.1425745   0.0394191   1.1906706
049  1224.01426   0.0000000   0.0715795   0.5010562
048  1257.93760   0.0022983   0.0313736   0.2198529
047  1259.50728   0.1588326   2.2249588  16.7099619
046  1289.62353   0.0014876   8.0252106  56.1765735
045  1289.83189  -0.0355999   3.8175363  26.7797852
044  1309.27280   0.0061570   1.9598530  13.7206772
043  1310.71966  -0.5820532   2.7733066  34.6585152
042  1401.58845   0.0159437   0.6313012   4.4305477
041  1406.56382   0.0000000   0.2405255   1.6836785
040  1409.32127  -0.0011778   1.2710963   8.8977366
039  1413.11772  -0.0123642   0.4628286   3.2466795
038  1419.36935  -0.0365288   0.2832465   2.0427712
037  1424.64811   0.0000000   0.3516772   2.4617407
036  1430.72223  -0.2682670   0.8463492   9.1629671
